Path,Extension,Role,Bytes,Lines
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/four_hat_parity.csv,.csv,matrix_or_report,897,10
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/four_hat_parity_full.csv,.csv,matrix_or_report,32283,399
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/gitmv_esitleme_manifest.csv,.csv,matrix_or_report,2070,9
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/high_service_gaps.csv,.csv,matrix_or_report,5777,64
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/komut_matrisi.csv,.csv,matrix_or_report,3543,39
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/meta_servis_matrisi.csv,.csv,matrix_or_report,44578,399
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/pragma_matrisi.csv,.csv,matrix_or_report,2180,18
UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/test_matrisi.csv,.csv,matrix_or_report,4366,59
UXM_V31_meta_servis_cross_50-120.csv,.csv,matrix_or_report,7897,72
UXM_V31_missing_expect_run.log,.log,other,2769,
UXM_V31_tests_meta_50_120_expect_report.csv,.csv,matrix_or_report,2636,52
adresleme Modlari ve ogretici eklenecekler.md,.md,document,52840,3707
build/README.md,.md,document,644,22
build/_datt_force_test.asm,.asm,build_artifact,3840,
build/_datt_force_test.uxm,.uxm,uxm_test_or_program,45,4
build/_tmp_det_debug.asm,.asm,build_artifact,8549,
build/_tmp_det_debug.o,.o,build_artifact,3496,
build/_tmp_det_debug.out.txt,.txt,build_artifact,236,8
build/compare_expected_only.ps1,.ps1,build_script,2202,58
build/compare_tests.ps1,.ps1,build_script,1695,34
build/dbg.txt,.txt,build_artifact,277,10
build/dbg2.txt,.txt,build_artifact,251,10
build/dbg4.txt,.txt,build_artifact,303,11
build/dbg_t2.txt,.txt,build_artifact,265,10
build/dbg_t3.txt,.txt,build_artifact,267,10
build/fbc_final_err.txt,.txt,build_artifact,1917,12
build/final_compile_err.txt,.txt,build_artifact,2635,12
build/out42.txt,.txt,build_artifact,263,8
build/out42_after_phase2.txt,.txt,build_artifact,263,8
build/out43.txt,.txt,build_artifact,262,8
build/out43_after_phase2.txt,.txt,build_artifact,262,8
build/out44_meta_version_info.txt,.txt,build_artifact,267,8
build/out45_pointer_meta_extended.txt,.txt,build_artifact,267,8
build/out46_fifo_clear.txt,.txt,build_artifact,245,9
build/out47_tape_sort_ascending.txt,.txt,build_artifact,262,8
build/out48_data_sort_descending.txt,.txt,build_artifact,264,8
build/out49_data_linear_search.txt,.txt,build_artifact,258,8
build/out50_tape_block_copy_clear.txt,.txt,build_artifact,269,9
build/program.asm,.asm,build_artifact,21282,
build/program.obj,.obj,build_artifact,8490,
build/release_notes_auto.md,.md,document,903,23
build/run_tests_after_phase2_step1.txt,.txt,build_artifact,20396,646
build/run_tests_after_phase2_step2.txt,.txt,build_artifact,20795,658
build/run_tests_after_phase2_step3.txt,.txt,build_artifact,22736,720
build/run_tests_after_sprint1.txt,.txt,build_artifact,20001,634
build/test01.asm,.asm,build_artifact,4012,
build/test01.obj,.obj,build_artifact,1845,
build/test01_print_A.asm,.asm,build_artifact,4730,
build/test01_print_A.o,.o,build_artifact,2264,
build/test01_print_A.obj,.obj,build_artifact,1845,
build/test02_string.asm,.asm,build_artifact,4210,
build/test02_string.o,.o,build_artifact,2139,
build/test03_addressing.asm,.asm,build_artifact,5208,
build/test03_addressing.o,.o,build_artifact,2329,
build/test04_stack_lifo.asm,.asm,build_artifact,5965,
build/test04_stack_lifo.o,.o,build_artifact,2595,
build/test05_meta_add.asm,.asm,build_artifact,5685,
build/test05_meta_add.o,.o,build_artifact,2585,
build/test06_dynamic_meta_mul.asm,.asm,build_artifact,6442,
build/test06_dynamic_meta_mul.o,.o,build_artifact,2851,
build/test07_macro.asm,.asm,build_artifact,4058,
build/test07_macro.o,.o,build_artifact,1971,
build/test08_newline.asm,.asm,build_artifact,5050,
build/test08_newline.o,.o,build_artifact,2396,
build/test09_div_mod.asm,.asm,build_artifact,6254,
build/test09_div_mod.o,.o,build_artifact,2900,
build/test10_sin_scaled.asm,.asm,build_artifact,4730,
build/test10_sin_scaled.o,.o,build_artifact,2264,
build/test11_hypotenuse.asm,.asm,build_artifact,5681,
build/test11_hypotenuse.o,.o,build_artifact,2585,
build/test12_signed_mode.asm,.asm,build_artifact,5878,
build/test12_signed_mode.o,.o,build_artifact,2692,
build/test13_status_div_zero.asm,.asm,build_artifact,5469,
build/test13_status_div_zero.o,.o,build_artifact,2551,
build/test14_branch_current_zero.asm,.asm,build_artifact,5304,
build/test14_branch_current_zero.o,.o,build_artifact,2425,
build/test15_branch_nonzero.asm,.asm,build_artifact,5688,
build/test15_branch_nonzero.o,.o,build_artifact,2560,
build/test16_data_digit.asm,.asm,build_artifact,4971,
build/test16_data_digit.o,.o,build_artifact,2366,
build/test17_endian_word_split.asm,.asm,build_artifact,4725,
build/test17_endian_word_split.o,.o,build_artifact,2218,
build/test18_pointer_service.asm,.asm,build_artifact,5342,
build/test18_pointer_service.o,.o,build_artifact,2463,
build/test20_fifo_char_order.asm,.asm,build_artifact,6435,
build/test20_fifo_char_order.o,.o,build_artifact,2895,
build/test21_fifo_count_peek.asm,.asm,build_artifact,6638,
build/test21_fifo_count_peek.o,.o,build_artifact,3110,
build/test22_data_write_read_char.asm,.asm,build_artifact,6820,
build/test22_data_write_read_char.o,.o,build_artifact,2965,
build/test23_data_digit_ascii_to_number.asm,.asm,build_artifact,4901,
build/test23_data_digit_ascii_to_number.o,.o,build_artifact,2332,
build/test24_data_block_copy_print.asm,.asm,build_artifact,12577,
build/test24_data_block_copy_print.o,.o,build_artifact,5049,
build/test25_data_sort_ascending.asm,.asm,build_artifact,14169,
build/test25_data_sort_ascending.o,.o,build_artifact,5643,
build/test26_tape_sort_descending_chars.asm,.asm,build_artifact,7940,
build/test26_tape_sort_descending_chars.o,.o,build_artifact,3370,
build/test27_tape_linear_search.asm,.asm,build_artifact,8530,
build/test27_tape_linear_search.o,.o,build_artifact,3644,
build/test28_dynamic_meta_fifo.asm,.asm,build_artifact,6436,
build/test28_dynamic_meta_fifo.o,.o,build_artifact,2855,
build/test29_nested_macro_call.asm,.asm,build_artifact,5664,
build/test29_nested_macro_call.o,.o,build_artifact,2543,
build/test30_word_mode_add.asm,.asm,build_artifact,5710,
build/test30_word_mode_add.o,.o,build_artifact,2601,
build/test31_safe_mode_wild_denied.asm,.asm,build_artifact,6813,
build/test31_safe_mode_wild_denied.o,.o,build_artifact,3003,
build/test32_wild_layout_change.asm,.asm,build_artifact,6619,
build/test32_wild_layout_change.o,.o,build_artifact,2969,
build/test33_bitwise_and_stack.asm,.asm,build_artifact,6123,
build/test33_bitwise_and_stack.o,.o,build_artifact,2697,
build/test34_data_block_clear.asm,.asm,build_artifact,9097,
build/test34_data_block_clear.o,.o,build_artifact,3800,
build/test35_optimizer_visible_result.asm,.asm,build_artifact,5125,
build/test35_optimizer_visible_result.o,.o,build_artifact,2367,
build/test40_4bit_cpu_alu_model.asm,.asm,build_artifact,17524,
build/test40_4bit_cpu_alu_model.o,.o,build_artifact,6918,
build/test41_4_neuron_nn_model.asm,.asm,build_artifact,25097,
build/test41_4_neuron_nn_model.o,.o,build_artifact,9292,
build/test42_error_flag_set_reset.asm,.asm,build_artifact,4539,
build/test42_error_flag_set_reset.o,.o,build_artifact,2363,
build/test43_error_macro_helpers.asm,.asm,build_artifact,5499,
build/test43_error_macro_helpers.o,.o,build_artifact,2888,
build/test44_asin.asm,.asm,build_artifact,4730,
build/test44_asin.o,.o,build_artifact,2264,
build/test44_meta_version_info.asm,.asm,build_artifact,4204,
build/test44_meta_version_info.o,.o,build_artifact,2226,
build/test45_acos.asm,.asm,build_artifact,4730,
build/test45_acos.o,.o,build_artifact,2264,
build/test45_pointer_meta_extended.asm,.asm,build_artifact,5746,
build/test45_pointer_meta_extended.o,.o,build_artifact,2923,
build/test46_fifo_clear.asm,.asm,build_artifact,7975,
build/test46_fifo_clear.o,.o,build_artifact,3641,
build/test46_sqrt.asm,.asm,build_artifact,4730,
build/test46_sqrt.o,.o,build_artifact,2264,
build/test47_sinh.asm,.asm,build_artifact,4730,
build/test47_sinh.o,.o,build_artifact,2264,
build/test47_tape_sort_ascending.asm,.asm,build_artifact,7940,
build/test47_tape_sort_ascending.o,.o,build_artifact,3370,
build/test48_cosh.asm,.asm,build_artifact,4730,
build/test48_cosh.o,.o,build_artifact,2264,
build/test48_data_sort_descending.asm,.asm,build_artifact,14169,
build/test48_data_sort_descending.o,.o,build_artifact,5643,
build/test49_data_linear_search.asm,.asm,build_artifact,6014,
build/test49_data_linear_search.o,.o,build_artifact,2739,
build/test49_tanh.asm,.asm,build_artifact,4730,
build/test49_tanh.o,.o,build_artifact,2264,
build/test50_tape_block_copy_clear.asm,.asm,build_artifact,15982,
build/test50_tape_block_copy_clear.o,.o,build_artifact,6381,
build/test51_meta_print_stack_pop.asm,.asm,build_artifact,4785,
build/test51_meta_print_stack_pop.log,.log,build_artifact,263,
build/test51_meta_print_stack_pop.o,.o,build_artifact,2200,
build/test52_meta_print_hex.asm,.asm,build_artifact,4541,
build/test52_meta_print_hex.log,.log,build_artifact,251,
build/test52_meta_print_hex.o,.o,build_artifact,2157,
build/test53_meta_print_bin.asm,.asm,build_artifact,4537,
build/test53_meta_print_bin.log,.log,build_artifact,252,
build/test53_meta_print_bin.o,.o,build_artifact,2155,
build/test54_meta_print_char_raw.asm,.asm,build_artifact,4539,
build/test54_meta_print_char_raw.log,.log,build_artifact,260,
build/test54_meta_print_char_raw.o,.o,build_artifact,2155,
build/test_expect_report.json,.json,other,3829,206
build/test_expect_report_only_marked.json,.json,other,1866,98
build/test_fp01_add_int.asm,.asm,build_artifact,15072,
build/test_fp01_add_int.o,.o,build_artifact,5973,
build/test_fp02_sub_int.asm,.asm,build_artifact,15074,
build/test_fp02_sub_int.o,.o,build_artifact,5973,
build/test_fp03_mul_int.asm,.asm,build_artifact,15072,
build/test_fp03_mul_int.o,.o,build_artifact,5973,
build/test_fp04_div_int.asm,.asm,build_artifact,15070,
build/test_fp04_div_int.o,.o,build_artifact,5973,
build/test_fp05_from_string.asm,.asm,build_artifact,7489,
build/test_fp05_from_string.o,.o,build_artifact,3255,
build/test_fp06_add_dec_string.asm,.asm,build_artifact,14898,
build/test_fp06_add_dec_string.o,.o,build_artifact,5966,
build/test_fp07_int_zero_sign_abs.asm,.asm,build_artifact,21282,
build/test_fp07_int_zero_sign_abs.o,.o,build_artifact,8490,
build/test_math01_poly_deriv_arge.asm,.asm,build_artifact,6931,
build/test_math01_poly_deriv_arge.o,.o,build_artifact,3042,
build/test_math02_poly_integral_arge.asm,.asm,build_artifact,7253,
build/test_math02_poly_integral_arge.o,.o,build_artifact,3168,
build/test_math03_poly_eval_arge.asm,.asm,build_artifact,5968,
build/test_math03_poly_eval_arge.o,.o,build_artifact,2721,
build/test_math04_expr_rpn_eval.asm,.asm,build_artifact,6289,
build/test_math04_expr_rpn_eval.o,.o,build_artifact,2876,
build/test_math05_num_deriv.asm,.asm,build_artifact,6711,
build/test_math05_num_deriv.o,.o,build_artifact,3001,
build/test_math06_integral_trap.asm,.asm,build_artifact,9193,
build/test_math06_integral_trap.o,.o,build_artifact,3604,
build/test_math07_integral_simpson.asm,.asm,build_artifact,9295,
build/test_math07_integral_simpson.o,.o,build_artifact,3655,
build/test_matrix01.out.txt,.txt,build_artifact,277,10
build/test_matrix01_init_set_print.asm,.asm,build_artifact,24218,
build/test_matrix01_init_set_print.o,.o,build_artifact,8857,
build/test_matrix02_add_2x2.asm,.asm,build_artifact,10945,
build/test_matrix02_add_2x2.o,.o,build_artifact,4357,
build/test_matrix03_mul_2x2.asm,.asm,build_artifact,10945,
build/test_matrix03_mul_2x2.o,.o,build_artifact,4357,
build/test_matrix04.out.txt,.txt,build_artifact,302,11
build/test_matrix04_identity_trace_det2.asm,.asm,build_artifact,12811,
build/test_matrix04_identity_trace_det2.o,.o,build_artifact,5072,
build_all.bat,.bat,build_script,679,26
build_final_compiler.bat,.bat,build_script,261,11
