"FileA","HashA","FileB","HashB","Match"
"uxm31_compiler_fb.bas","D15FA9EC42AA0D2BC768C46F06AA1950D8B42F65BE351BA605961C2B16DB1B51","compiler/uxm31_compiler_fb.bas","12FDB08ED8A67567924DFA33B36669845425DA410987100AE4E3784653E77C67","NO"
"uxm31_runtime_fb_full.bas","9F4E5F2A79D03FFA5A439D32F5DC03B959FC422291FDAFD60138BAD6A6192C07","runtime/uxm31_runtime_fb_full.bas","9CC65650035D22860DB297AE7A6486DEF4EB1596A33D122C78C499E347AE74D4","NO"
"uxm31_full_tool_fb.bas","E8CA360B2031C0834AFCD6887A292E9A92B4BC825CE5EEB6641EB59AC63D91A7","tools/uxm31_full_tool_fb.bas","A85DB05FB864BF5841A6EB7AE4438045E1FA7A5265884D70372AD427D7FC4AE1","NO"
"final/uxm31_compiler_final.bas","1770075EC0EEF6D2804CE7775C001BCA847BDD48A9E31499F26F5B4F6496EE9E","ide/uxminima-vscode/tools/uxm31_compiler_final.bas","919D7DB9BA573FB9E06FED54C4EF1537540F43EBA13BF7A814EB40B06F7980EF","NO"
"ux_minima_full v31.md","176C48000B724E5E636155C8482AAECBBFEFB0ACFC2DCD717EE3E5F84361BFFC","BELGE_KOPYALARI/ux_minima_full v31.md","29ABD52E016DEF3EC3F8198082A32026BAD6B3FB0D4AC5ED3F58963C2016CDC0","NO"
"ux_minima_IDE_vscode.md","466454DC96251AC3BA9C170409076F81BCA89617410EB5B6B2FB2E3379243BA3","BELGE_KOPYALARI/ux_minima_IDE_vscode.md","5D5201839A19B3821C253E4965EA7BDEC1C87EC4FBFCC1BD66D719E411EFFF14","NO"
"uX_Minima_Kullanim Klavuzu.md","F71E0308B1A2D099880C75D1295330EE19AE65163CF7F66E6F3E6D5B14644AB2","BELGE_KOPYALARI/uX_Minima_Kullanim Klavuzu.md","D688E200393B559E20495F7B01A6A8CDDC756459AC175D73E437C4038917E653","NO"
"ux_minimax_ide_tasarimi_dusuncesi.md","D3878044E5B0BB55425C3DFB04D0D465B6B338EF069A0E9D9EF5DD7233C2211B","BELGE_KOPYALARI/ux_minimax_ide_tasarimi_dusuncesi.md","9E1458D65A94F5C6F2DC231644440687DB9C66B224F61BEB171A4BCD17317914","NO"
"gercek_durum.md","283D1C01B3EF5BC40C86762175D472C892035CA3BD1D7E3AA0EFDAB8A8F26EB7","BELGE_KOPYALARI/gercek_durum.md","283D1C01B3EF5BC40C86762175D472C892035CA3BD1D7E3AA0EFDAB8A8F26EB7","YES"
