Dosya,Rol,Uzantı,Boyut,Satır
ide/uxminima-vscode/node_modules/@types/node/globals.d.ts,ide,.ts,6114,172
ide/uxminima-vscode/node_modules/@types/node/globals.typedarray.d.ts,ide,.ts,1825,38
ide/uxminima-vscode/node_modules/@types/node/http.d.ts,ide,.ts,91405,2049
ide/uxminima-vscode/node_modules/@types/node/http2.d.ts,ide,.ts,129289,2631
ide/uxminima-vscode/node_modules/@types/node/https.d.ts,ide,.ts,25837,578
ide/uxminima-vscode/node_modules/@types/node/index.d.ts,ide,.ts,3967,93
ide/uxminima-vscode/node_modules/@types/node/inspector.generated.d.ts,ide,.ts,197533,3966
ide/uxminima-vscode/node_modules/@types/node/module.d.ts,ide,.ts,23396,539
ide/uxminima-vscode/node_modules/@types/node/net.d.ts,ide,.ts,47623,1031
ide/uxminima-vscode/node_modules/@types/node/os.d.ts,ide,.ts,19443,506
ide/uxminima-vscode/node_modules/@types/node/package.json,ide,.json,4128,140
ide/uxminima-vscode/node_modules/@types/node/path.d.ts,ide,.ts,8337,200
ide/uxminima-vscode/node_modules/@types/node/perf_hooks.d.ts,ide,.ts,38089,961
ide/uxminima-vscode/node_modules/@types/node/process.d.ts,ide,.ts,98931,1961
ide/uxminima-vscode/node_modules/@types/node/punycode.d.ts,ide,.ts,5482,117
ide/uxminima-vscode/node_modules/@types/node/querystring.d.ts,ide,.ts,7128,152
ide/uxminima-vscode/node_modules/@types/node/readline/promises.d.ts,ide,.ts,6456,162
ide/uxminima-vscode/node_modules/@types/node/readline.d.ts,ide,.ts,25921,589
ide/uxminima-vscode/node_modules/@types/node/repl.d.ts,ide,.ts,19510,430
ide/uxminima-vscode/node_modules/@types/node/sea.d.ts,ide,.ts,6207,153
ide/uxminima-vscode/node_modules/@types/node/stream/consumers.d.ts,ide,.ts,1619,38
ide/uxminima-vscode/node_modules/@types/node/stream/promises.d.ts,ide,.ts,2971,90
ide/uxminima-vscode/node_modules/@types/node/stream/web.d.ts,ide,.ts,25444,533
ide/uxminima-vscode/node_modules/@types/node/stream.d.ts,ide,.ts,87071,1698
ide/uxminima-vscode/node_modules/@types/node/string_decoder.d.ts,ide,.ts,2812,67
ide/uxminima-vscode/node_modules/@types/node/test.d.ts,ide,.ts,82395,1787
ide/uxminima-vscode/node_modules/@types/node/timers/promises.d.ts,ide,.ts,3780,108
ide/uxminima-vscode/node_modules/@types/node/timers.d.ts,ide,.ts,14568,286
ide/uxminima-vscode/node_modules/@types/node/tls.d.ts,ide,.ts,59378,1259
ide/uxminima-vscode/node_modules/@types/node/trace_events.d.ts,ide,.ts,8929,197
ide/uxminima-vscode/node_modules/@types/node/ts5.6/buffer.buffer.d.ts,ide,.ts,22077,468
ide/uxminima-vscode/node_modules/@types/node/ts5.6/globals.typedarray.d.ts,ide,.ts,1160,34
ide/uxminima-vscode/node_modules/@types/node/ts5.6/index.d.ts,ide,.ts,4164,93
ide/uxminima-vscode/node_modules/@types/node/tty.d.ts,ide,.ts,10056,208
ide/uxminima-vscode/node_modules/@types/node/url.d.ts,ide,.ts,42470,964
ide/uxminima-vscode/node_modules/@types/node/util.d.ts,ide,.ts,89927,2331
ide/uxminima-vscode/node_modules/@types/node/v8.d.ts,ide,.ts,34873,809
ide/uxminima-vscode/node_modules/@types/node/vm.d.ts,ide,.ts,46095,1001
ide/uxminima-vscode/node_modules/@types/node/wasi.d.ts,ide,.ts,7942,181
ide/uxminima-vscode/node_modules/@types/node/web-globals/abortcontroller.d.ts,ide,.ts,1145,34
ide/uxminima-vscode/node_modules/@types/node/web-globals/domexception.d.ts,ide,.ts,2565,68
ide/uxminima-vscode/node_modules/@types/node/web-globals/events.d.ts,ide,.ts,2871,97
ide/uxminima-vscode/node_modules/@types/node/web-globals/fetch.d.ts,ide,.ts,2700,55
ide/uxminima-vscode/node_modules/@types/node/worker_threads.d.ts,ide,.ts,35148,715
ide/uxminima-vscode/node_modules/@types/node/zlib.d.ts,ide,.ts,22117,598
ide/uxminima-vscode/node_modules/@types/vscode/README.md,ide,.md,490,15
ide/uxminima-vscode/node_modules/@types/vscode/index.d.ts,ide,.ts,742102,21238
ide/uxminima-vscode/node_modules/@types/vscode/package.json,ide,.json,836,26
ide/uxminima-vscode/node_modules/typescript/README.md,ide,.md,2842,50
ide/uxminima-vscode/node_modules/typescript/SECURITY.md,ide,.md,2656,41
ide/uxminima-vscode/node_modules/typescript/lib/cs/diagnosticMessages.generated.json,ide,.json,320453,2122
ide/uxminima-vscode/node_modules/typescript/lib/de/diagnosticMessages.generated.json,ide,.json,344426,2122
ide/uxminima-vscode/node_modules/typescript/lib/es/diagnosticMessages.generated.json,ide,.json,340054,2122
ide/uxminima-vscode/node_modules/typescript/lib/fr/diagnosticMessages.generated.json,ide,.json,346016,2122
ide/uxminima-vscode/node_modules/typescript/lib/it/diagnosticMessages.generated.json,ide,.json,339409,2122
ide/uxminima-vscode/node_modules/typescript/lib/ja/diagnosticMessages.generated.json,ide,.json,381398,2122
ide/uxminima-vscode/node_modules/typescript/lib/ko/diagnosticMessages.generated.json,ide,.json,346139,2122
ide/uxminima-vscode/node_modules/typescript/lib/lib.d.ts,ide,.ts,992,22
ide/uxminima-vscode/node_modules/typescript/lib/lib.decorators.d.ts,ide,.ts,13192,384
ide/uxminima-vscode/node_modules/typescript/lib/lib.decorators.legacy.d.ts,ide,.ts,1326,22
ide/uxminima-vscode/node_modules/typescript/lib/lib.dom.asynciterable.d.ts,ide,.ts,1887,41
ide/uxminima-vscode/node_modules/typescript/lib/lib.dom.d.ts,ide,.ts,1874901,39429
ide/uxminima-vscode/node_modules/typescript/lib/lib.dom.iterable.d.ts,ide,.ts,29802,571
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2015.collection.d.ts,ide,.ts,5229,147
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2015.core.d.ts,ide,.ts,22866,597
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2015.d.ts,ide,.ts,1241,28
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2015.generator.d.ts,ide,.ts,2557,77
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2015.iterable.d.ts,ide,.ts,18200,605
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2015.promise.d.ts,ide,.ts,3200,81
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2015.proxy.d.ts,ide,.ts,5251,128
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2015.reflect.d.ts,ide,.ts,6493,144
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2015.symbol.d.ts,ide,.ts,1649,46
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2015.symbol.wellknown.d.ts,ide,.ts,11010,326
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2016.array.include.d.ts,ide,.ts,5204,116
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2016.d.ts,ide,.ts,965,21
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2016.full.d.ts,ide,.ts,1032,23
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2016.intl.d.ts,ide,.ts,1484,31
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2017.arraybuffer.d.ts,ide,.ts,915,21
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2017.d.ts,ide,.ts,1162,26
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2017.date.d.ts,ide,.ts,1916,31
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2017.full.d.ts,ide,.ts,1032,23
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2017.intl.d.ts,ide,.ts,1449,44
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2017.object.d.ts,ide,.ts,2473,49
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2017.sharedmemory.d.ts,ide,.ts,7209,135
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2017.string.d.ts,ide,.ts,2378,45
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2017.typedarrays.d.ts,ide,.ts,1542,53
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2018.asyncgenerator.d.ts,ide,.ts,2692,77
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2018.asynciterable.d.ts,ide,.ts,2257,53
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2018.d.ts,ide,.ts,1088,24
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2018.full.d.ts,ide,.ts,1074,24
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2018.intl.d.ts,ide,.ts,3021,83
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2018.promise.d.ts,ide,.ts,1353,30
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2018.regexp.d.ts,ide,.ts,1232,37
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2019.array.d.ts,ide,.ts,3163,79
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2019.d.ts,ide,.ts,1071,24
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2019.full.d.ts,ide,.ts,1074,24
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2019.intl.d.ts,ide,.ts,958,23
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2019.object.d.ts,ide,.ts,1473,33
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2019.string.d.ts,ide,.ts,1528,37
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2019.symbol.d.ts,ide,.ts,1006,24
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2020.bigint.d.ts,ide,.ts,38185,765
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2020.d.ts,ide,.ts,1201,27
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2020.date.d.ts,ide,.ts,2956,42
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2020.full.d.ts,ide,.ts,1074,24
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2020.intl.d.ts,ide,.ts,22438,474
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2020.number.d.ts,ide,.ts,1587,28
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2020.promise.d.ts,ide,.ts,1803,47
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2020.sharedmemory.d.ts,ide,.ts,5128,99
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2020.string.d.ts,ide,.ts,2556,44
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2020.symbol.wellknown.d.ts,ide,.ts,1606,41
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2021.d.ts,ide,.ts,1036,23
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2021.full.d.ts,ide,.ts,1074,24
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2021.intl.d.ts,ide,.ts,8245,166
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2021.promise.d.ts,ide,.ts,2262,48
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2021.string.d.ts,ide,.ts,1592,33
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2021.weakref.d.ts,ide,.ts,3171,78
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2022.array.d.ts,ide,.ts,4676,121
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2022.d.ts,ide,.ts,1108,25
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2022.error.d.ts,ide,.ts,2379,75
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2022.full.d.ts,ide,.ts,1074,24
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2022.intl.d.ts,ide,.ts,7692,145
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2022.object.d.ts,ide,.ts,1085,26
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2022.regexp.d.ts,ide,.ts,1331,39
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2022.string.d.ts,ide,.ts,1155,25
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2023.array.d.ts,ide,.ts,40236,924
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2023.collection.d.ts,ide,.ts,900,21
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2023.d.ts,ide,.ts,999,22
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2023.full.d.ts,ide,.ts,1074,24
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2023.intl.d.ts,ide,.ts,2645,56
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2024.arraybuffer.d.ts,ide,.ts,2637,65
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2024.collection.d.ts,ide,.ts,1224,29
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2024.d.ts,ide,.ts,1166,26
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2024.full.d.ts,ide,.ts,1074,24
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2024.object.d.ts,ide,.ts,1259,29
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2024.promise.d.ts,ide,.ts,1389,35
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2024.regexp.d.ts,ide,.ts,1073,25
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2024.sharedmemory.d.ts,ide,.ts,3077,68
ide/uxminima-vscode/node_modules/typescript/lib/lib.es2024.string.d.ts,ide,.ts,1194,29
ide/uxminima-vscode/node_modules/typescript/lib/lib.es5.d.ts,ide,.ts,218439,4601
ide/uxminima-vscode/node_modules/typescript/lib/lib.es6.d.ts,ide,.ts,1032,23
ide/uxminima-vscode/node_modules/typescript/lib/lib.esnext.array.d.ts,ide,.ts,1791,35
ide/uxminima-vscode/node_modules/typescript/lib/lib.esnext.collection.d.ts,ide,.ts,3878,96
ide/uxminima-vscode/node_modules/typescript/lib/lib.esnext.d.ts,ide,.ts,1282,29
ide/uxminima-vscode/node_modules/typescript/lib/lib.esnext.decorators.d.ts,ide,.ts,1070,28
ide/uxminima-vscode/node_modules/typescript/lib/lib.esnext.disposable.d.ts,ide,.ts,6806,193
ide/uxminima-vscode/node_modules/typescript/lib/lib.esnext.error.d.ts,ide,.ts,1029,24
ide/uxminima-vscode/node_modules/typescript/lib/lib.esnext.float16.d.ts,ide,.ts,20528,445
ide/uxminima-vscode/node_modules/typescript/lib/lib.esnext.full.d.ts,ide,.ts,1074,24
ide/uxminima-vscode/node_modules/typescript/lib/lib.esnext.intl.d.ts,ide,.ts,893,21
ide/uxminima-vscode/node_modules/typescript/lib/lib.esnext.iterator.d.ts,ide,.ts,8676,148
ide/uxminima-vscode/node_modules/typescript/lib/lib.esnext.promise.d.ts,ide,.ts,1658,34
ide/uxminima-vscode/node_modules/typescript/lib/lib.esnext.sharedmemory.d.ts,ide,.ts,1067,25
ide/uxminima-vscode/node_modules/typescript/lib/lib.scripthost.d.ts,ide,.ts,9451,322
ide/uxminima-vscode/node_modules/typescript/lib/lib.webworker.asynciterable.d.ts,ide,.ts,1887,41
ide/uxminima-vscode/node_modules/typescript/lib/lib.webworker.d.ts,ide,.ts,609557,13150
ide/uxminima-vscode/node_modules/typescript/lib/lib.webworker.importscripts.d.ts,ide,.ts,1041,23
ide/uxminima-vscode/node_modules/typescript/lib/lib.webworker.iterable.d.ts,ide,.ts,22768,340
ide/uxminima-vscode/node_modules/typescript/lib/pl/diagnosticMessages.generated.json,ide,.json,342111,2122
ide/uxminima-vscode/node_modules/typescript/lib/pt-br/diagnosticMessages.generated.json,ide,.json,330482,2122
ide/uxminima-vscode/node_modules/typescript/lib/ru/diagnosticMessages.generated.json,ide,.json,443587,2122
ide/uxminima-vscode/node_modules/typescript/lib/tr/diagnosticMessages.generated.json,ide,.json,330684,2122
ide/uxminima-vscode/node_modules/typescript/lib/tsserverlibrary.d.ts,ide,.ts,865,17
ide/uxminima-vscode/node_modules/typescript/lib/typesMap.json,ide,.json,16788,497
ide/uxminima-vscode/node_modules/typescript/lib/typescript.d.ts,ide,.ts,588085,11437
ide/uxminima-vscode/node_modules/typescript/lib/zh-cn/diagnosticMessages.generated.json,ide,.json,295909,2122
ide/uxminima-vscode/node_modules/typescript/lib/zh-tw/diagnosticMessages.generated.json,ide,.json,292532,2122
ide/uxminima-vscode/node_modules/typescript/package.json,ide,.json,3620,120
ide/uxminima-vscode/node_modules/undici-types/README.md,ide,.md,455,6
ide/uxminima-vscode/node_modules/undici-types/agent.d.ts,ide,.ts,1065,31
ide/uxminima-vscode/node_modules/undici-types/api.d.ts,ide,.ts,1455,43
ide/uxminima-vscode/node_modules/undici-types/balanced-pool.d.ts,ide,.ts,961,29
ide/uxminima-vscode/node_modules/undici-types/cache.d.ts,ide,.ts,1251,36
ide/uxminima-vscode/node_modules/undici-types/client.d.ts,ide,.ts,4964,108
ide/uxminima-vscode/node_modules/undici-types/connector.d.ts,ide,.ts,1029,34
ide/uxminima-vscode/node_modules/undici-types/content-type.d.ts,ide,.ts,561,21
ide/uxminima-vscode/node_modules/undici-types/cookies.d.ts,ide,.ts,635,28
ide/uxminima-vscode/node_modules/undici-types/diagnostics-channel.d.ts,ide,.ts,1579,66
ide/uxminima-vscode/node_modules/undici-types/dispatcher.d.ts,ide,.ts,14222,256
ide/uxminima-vscode/node_modules/undici-types/env-http-proxy-agent.d.ts,ide,.ts,675,21
ide/uxminima-vscode/node_modules/undici-types/errors.d.ts,ide,.ts,4280,149
ide/uxminima-vscode/node_modules/undici-types/eventsource.d.ts,ide,.ts,1648,61
ide/uxminima-vscode/node_modules/undici-types/fetch.d.ts,ide,.ts,5575,209
ide/uxminima-vscode/node_modules/undici-types/file.d.ts,ide,.ts,1707,39
ide/uxminima-vscode/node_modules/undici-types/filereader.d.ts,ide,.ts,1433,54
ide/uxminima-vscode/node_modules/undici-types/formdata.d.ts,ide,.ts,4998,108
ide/uxminima-vscode/node_modules/undici-types/global-dispatcher.d.ts,ide,.ts,276,9
ide/uxminima-vscode/node_modules/undici-types/global-origin.d.ts,ide,.ts,175,7
ide/uxminima-vscode/node_modules/undici-types/handlers.d.ts,ide,.ts,447,15
ide/uxminima-vscode/node_modules/undici-types/header.d.ts,ide,.ts,133,4
ide/uxminima-vscode/node_modules/undici-types/index.d.ts,ide,.ts,3387,71
ide/uxminima-vscode/node_modules/undici-types/interceptors.d.ts,ide,.ts,922,17
ide/uxminima-vscode/node_modules/undici-types/mock-agent.d.ts,ide,.ts,2535,50
ide/uxminima-vscode/node_modules/undici-types/mock-client.d.ts,ide,.ts,1002,25
ide/uxminima-vscode/node_modules/undici-types/mock-errors.d.ts,ide,.ts,338,12
ide/uxminima-vscode/node_modules/undici-types/mock-interceptor.d.ts,ide,.ts,3902,93
ide/uxminima-vscode/node_modules/undici-types/mock-pool.d.ts,ide,.ts,974,25
ide/uxminima-vscode/node_modules/undici-types/package.json,ide,.json,1193,55
ide/uxminima-vscode/node_modules/undici-types/patch.d.ts,ide,.ts,691,33
ide/uxminima-vscode/node_modules/undici-types/pool-stats.d.ts,ide,.ts,669,19
ide/uxminima-vscode/node_modules/undici-types/pool.d.ts,ide,.ts,1336,39
ide/uxminima-vscode/node_modules/undici-types/proxy-agent.d.ts,ide,.ts,780,28
ide/uxminima-vscode/node_modules/undici-types/readable.d.ts,ide,.ts,1738,65
ide/uxminima-vscode/node_modules/undici-types/retry-agent.d.ts,ide,.ts,232,8
ide/uxminima-vscode/node_modules/undici-types/retry-handler.d.ts,ide,.ts,2983,116
ide/uxminima-vscode/node_modules/undici-types/util.d.ts,ide,.ts,623,18
ide/uxminima-vscode/node_modules/undici-types/webidl.d.ts,ide,.ts,5921,228
ide/uxminima-vscode/node_modules/undici-types/websocket.d.ts,ide,.ts,3840,150
ide/uxminima-vscode/out/README.md,ide,.md,846,29
ide/uxminima-vscode/out/views/README.md,ide,.md,584,19
ide/uxminima-vscode/package-lock.json,ide,.json,1871,59
ide/uxminima-vscode/package.json,ide,.json,7194,245
ide/uxminima-vscode/snippets/README.md,ide,.md,559,18
ide/uxminima-vscode/src/README.md,ide,.md,672,23
ide/uxminima-vscode/src/diagnostics.ts,ide,.ts,5189,119
ide/uxminima-vscode/src/extension.ts,ide,.ts,10778,237
ide/uxminima-vscode/src/metaServices.ts,ide,.ts,8415,93
ide/uxminima-vscode/src/toolchain.ts,ide,.ts,9879,234
ide/uxminima-vscode/src/traceReader.ts,ide,.ts,1782,78
ide/uxminima-vscode/src/uxmInterpreter.ts,ide,.ts,25319,485
ide/uxminima-vscode/src/views/README.md,ide,.md,556,18
ide/uxminima-vscode/src/views/memoryView.ts,ide,.ts,7177,134
ide/uxminima-vscode/syntaxes/README.md,ide,.md,561,18
ide/uxminima-vscode/syntaxes/uxm.tmLanguage.json,ide,.json,2687,90
ide/uxminima-vscode/tools/README.md,ide,.md,558,18
ide/uxminima-vscode/tools/README_TOOLCHAIN.md,ide,.md,363,21
ide/uxminima-vscode/tools/build_final_compiler.bat,compiler,.bat,386,10
ide/uxminima-vscode/tools/uxm31_compiler_final.bas,compiler,.bas,64466,1066
ide/uxminima-vscode/tsconfig.json,ide,.json,291,14
lib/README.md,doc,.md,531,18
lib/ux_fp_v1.uxm,uxm_lib,.uxm,319,22
lib/ux_mat_v1.uxm,uxm_lib,.uxm,485,32
lib/ux_math_v1.uxm,uxm_lib,.uxm,253,13
math_extensions/README.md,doc,.md,630,22
math_extensions/compiler/README.md,doc,.md,567,18
math_extensions/compiler/arge_parse_math_additions.bas,source/other,.bas,4900,155
math_extensions/compiler/arge_parse_matrix_additions.bas,source/other,.bas,6106,190
math_extensions/docs/README.md,doc,.md,556,18
