"FileA","FileB","Authority","NonAuthority","Decision","Reason"
"uxm31_compiler_fb.bas","compiler/uxm31_compiler_fb.bas","uxm31_compiler_fb.bas","compiler/uxm31_compiler_fb.bas","KEEP_A_MOVE_B_TO_LEGACY","A dosyasi otorite kaynak setinde"
"uxm31_runtime_fb_full.bas","runtime/uxm31_runtime_fb_full.bas","uxm31_runtime_fb_full.bas","runtime/uxm31_runtime_fb_full.bas","KEEP_A_MOVE_B_TO_LEGACY","A dosyasi otorite kaynak setinde"
"uxm31_full_tool_fb.bas","tools/uxm31_full_tool_fb.bas","uxm31_full_tool_fb.bas","tools/uxm31_full_tool_fb.bas","KEEP_A_MOVE_B_TO_LEGACY","A dosyasi otorite kaynak setinde"
"final/uxm31_compiler_final.bas","ide/uxminima-vscode/tools/uxm31_compiler_final.bas","final/uxm31_compiler_final.bas","ide/uxminima-vscode/tools/uxm31_compiler_final.bas","KEEP_A_MOVE_B_TO_LEGACY","A dosyasi otorite kaynak setinde"
"ux_minima_full v31.md","BELGE_KOPYALARI/ux_minima_full v31.md","ux_minima_full v31.md","BELGE_KOPYALARI/ux_minima_full v31.md","KEEP_A_MOVE_B_TO_LEGACY","A dosyasi otorite kaynak setinde"
"ux_minima_IDE_vscode.md","BELGE_KOPYALARI/ux_minima_IDE_vscode.md","ux_minima_IDE_vscode.md","BELGE_KOPYALARI/ux_minima_IDE_vscode.md","KEEP_A_MOVE_B_TO_LEGACY","A dosyasi otorite kaynak setinde"
"uX_Minima_Kullanim Klavuzu.md","BELGE_KOPYALARI/uX_Minima_Kullanim Klavuzu.md","uX_Minima_Kullanim Klavuzu.md","BELGE_KOPYALARI/uX_Minima_Kullanim Klavuzu.md","KEEP_A_MOVE_B_TO_LEGACY","A dosyasi otorite kaynak setinde"
"ux_minimax_ide_tasarimi_dusuncesi.md","BELGE_KOPYALARI/ux_minimax_ide_tasarimi_dusuncesi.md","ux_minimax_ide_tasarimi_dusuncesi.md","BELGE_KOPYALARI/ux_minimax_ide_tasarimi_dusuncesi.md","KEEP_A_MOVE_B_TO_LEGACY","A dosyasi otorite kaynak setinde"
